Previous 100 rated games for user kayoshii
Wins: 59 Losses: 41
30-Nov-2021
90249547 — ProffesorSnape: 0, kayoshii: 26
90249783 — smofffi: 71, kayoshii: 59
90250092 — kayoshii: 54, kurepu3: 40
90250629 — Walu85: 37, kayoshii: 14
90251010 — dis15: 13, kayoshii: 8
90252666 — kayoshii: 24, chaemon: 7
90252869 — Eduardo: 42, kayoshii: 45
90254352 — oz8487: 43, kayoshii: 49
90254674 — kayoshii: 34, oz8487: 6
90255170 — oz8487: 7, kayoshii: 12
90255971 — liukoki: 32, kayoshii: 27
90256327 — wanderingcaretaker: 29, kayoshii: 11
01-Dec-2021
90291211 — sillypotter: 24, kayoshii: 19
90301210 — kayoshii: 56, TremendousTim: 42
90321556 — kayoshii: 8, jschottm: 20
90321756 — takumikuta: 24, kayoshii: 21
90354578 — kayoshii: 25, Isicera: 21
90354928 — Rhitoc: 6, kayoshii: 23
90355298 — MastahMan: 20, kayoshii: 37
02-Dec-2021
90379144 — kayoshii: 31, clala: 16
90381869 — yurikamome: 37, kayoshii: 26
90382321 — kayoshii: 42, Dorrrfkind: 15
90382717 — kayoshii: 37, alex81: 50
90383657 — gbu1557: 2, kayoshii: 1
90383777 — kayoshii: 38, gbu1557: 30
90384312 — Foxon: 29, kayoshii: 37
90417477 — kayoshii: 24, sillypotter: 39
90418749 — kayoshii: 36, MikeyFabs: 41
03-Dec-2021
90428517 — kyra1fan0: 19, kayoshii: 30
90428818 — kayoshii: 34, thomas95: 15
90429272 — takumikuta: 4, kayoshii: 11
90429670 — kayoshii: 41, newguy2: 22
90429902 — kayoshii: 34, newguy2: 24
90446483 — kayoshii: 36, trashpanda97: 18
90446717 — kayoshii: 43, Melvin Frohike: 33
90447137 — PA7: 24, kayoshii: 27
90447578 — DasKommtDavon: 15, kayoshii: 23
90447719 — kayoshii: 30, DasKommtDavon: 2
90448181 — kayoshii: 29, fireandfox: 27
90448743 — kayoshii: 40, kammekanezie: 48
04-Dec-2021
90483453 — kayoshii: 31, Carphunter90: 30
90483923 — tooty fruity: 36, kayoshii: 12
90484190 — kayoshii: 24, sardonicpanda: 7
90484319 — kayoshii: 3, Alchemist81: −6
